Price,Name,Brand,History,Size,Packaging,Limitation,Female,Male,Neutral,Parfume,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
29,Black Opium,YvesSaintLaurent,53,0.33,0.3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
38,Provocative Interlude,ElizabethArden,119,1.7,0.35,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
42,Casual,PaulSebastian,12,4,0.2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
45,Sinner Eau de Parfum,KatVonD,11,1,0.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
49,Red Door,ElizabethArden,119,1.7,0.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
50,Coach for Men,Coach,78,1.3,0.55,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
52,Green Tea,ElizabethArden,119,3.3,0.2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
54,Eternity Aqua,CK,51,1.7,0.15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2
56,Truth,CK,51,1.7,0.3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2
58,Happy,Clinique,51,1.7,0.1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
58,Bombshell Eau de Parfum,VICTORIASSECRET,49,1.7,0.25,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
60,Coach EdP,Coach,78,1,0.55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
60,Morden Jess,JessicaMcclintock,50,3.4,0.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
61,CK One,CK,51,3.3,0.1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
63,Her Blossom Eau de Toilette,Burberry,163,1,0.15,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
65,Gucci,Gucci,108,1.6,0.4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2
65,Parisienne,YvesSaintLaurent,53,1.6,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
68,Jessica Mcclintock,JessicaMcclintock,50,3.4,0.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
69,Versace Yellow Diamond,Versace,41,1.7,0.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
70,Omnia Crystalline Candy ,BVLGARI,135,1.3,0.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
70,Men's Luna Rossa,Prada,116,1.7,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
71,Fifth Avenue,ElizabethArden,119,2.5,0.55,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2
72,Juicy Couture Hollywood Royal,JuicyCouture,24,2.5,0.8,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
72,Men's L'Homme,YvesSaintLaurent,53,2,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
73,Truth,CK,51,3.4,0.3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2
75,BLEU DE CHANEL Eau de Toilette,Chanel,119,1.7,0.2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
75,DIOR HOMME EAU FOR MEN,Dior,73,1.7,0.35,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
75,Dancing,JessicaMcclintock,50,3.4,0.3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
76,Paul Sebastian,PaulSebastian,12,8,0.1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2
78,Burberry For Women,Burberry,163,1.7,0.5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
78,Men's Luna Rossa Black,Prada,116,1.7,0.5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
78,Very Sexy Platinum For Him Cologne,VICTORIASSECRET,49,3.4,0.4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
79,Eternity Aqua,CK,51,3.4,0.15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2
80,Coach for Men,Coach,78,3.3,0.55,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
80,Miss Dior,Dior,73,1.7,0.45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
80,Exceptional Because You Are Women,ExceptionalParfums,11,3.4,0.1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
80,I Am Juicy Couture,JuicyCouture,24,3.4,0.5,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2
82,Happy,Clinique,51,3.4,0.1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
82,Versace Signature,Versace,41,3.4,0.45,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
85,CHANCE EAU TENDRE Eau de Toilette,Chanel,119,1.7,0.3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
85,Juicy Couture,JuicyCouture,24,1.7,0.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2
86,Omnia Pink Sapphire Candy,BVLGARI,135,2.2,0.7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
86,Marc Jacobs Daisy Dream,MarcJacobs,35,1.7,0.6,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
88,Coach Platinum,Coach,78,2,0.58,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2
89,Peace Love & Juicy Couture,JuicyCouture,24,3.4,0.65,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
90,Men's Luna Rossa Sport ,Prada,116,3.4,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
92,My Burberry Blush,Burberry,163,1,0.4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
92,Men's Amber Pour Homme,Prada,116,3.4,0.4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
93,Eternity Women,CK,51,6.7,0.25,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2
94,Dolce Garden,DolceGabbana,34,1.6,0.7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
94,Candy Kiss,Prada,116,1.7,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
95,BLEU DE CHANEL Eau de Toilette,Chanel,119,3.4,0.2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
95,SAUVAGE,Dior,73,3.4,0.35,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
95,Bright Crystal,Versace,41,3,0.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
96,My Burberry Blush,Burberry,163,1.7,0.4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
98,Burberry For Women,Burberry,163,3.3,0.5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
98,L'Ombre dans L'Eau Eau de Toilette,Diptqyue,58,1.7,0.2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2
98,Paris Eau de Toilette,YvesSaintLaurent,53,4.2,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
99,Coach Signature,Coach,78,3.3,0.3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2
100,Burberry Brit Rhythm Floral,Burberry,163,3.3,0.3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
100,Miss Dior,Dior,73,1.7,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100,Daisy Eau So Fresh Eau de Toilette,MarcJacobs,35,2.5,0.65,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
100,Candy Gloss,Prada,116,2.7,0.6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
102,Miss Dior,Dior,73,3.4,0.45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
104,Libre,YvesSaintLaurent,53,1.6,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
105,Juicy Couture Oui,JuicyCouture,24,3.4,0.55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106,Men's L'Homme Le Parfum Ultime,YvesSaintLaurent,53,3.3,0.5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
109,Flora By Gucci - Gorgeous Gardenia,Gucci,108,3.4,0.35,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
112,Decadence Eau So Decadent,MarcJacobs,35,3.4,0.7,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2
118,Burberry Brit Rhythm,Burberry,163,6,0.3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
120,BLEU DE CHANEL Eau de Parfum,Chanel,119,3.4,0.2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
120,The Only One 2,DolceGabbana,34,3.3,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
120,Mémoire d'une Odeur Eau de Parfum,Gucci,108,3.3,0.5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
120,Versace Dylan Blue EdP,Versace,41,3.4,0.55,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
122,Marc Jacobs Decadence,MarcJacobs,35,3.4,0.7,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2
124,Candy Kiss,Prada,116,2.7,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
124,Mon Paris ,YvesSaintLaurent,53,3,0.7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
124,Mon Paris Couture ,YvesSaintLaurent,53,3,0.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
126,Bamboo,Gucci,108,2.5,0.5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
130,Aromatics Elixir,Clinique,51,3.4,0.3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
