Price,Name,Brand,History,Size,Packaging,Limitation,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
24,Paul Sebastian,Paul Sebastian,12,1,0.1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
29,Black Opium,Yves Saint Laurent,53,0.33,0.3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
35,Eternity Aqua,CK,51,1,0.15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
38,Happy,Clinique,51,1,0.1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
42,Casual,Paul Sebastian,12,4,0.2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
45,Sinner Eau de Parfum,Kat Von D,11,1,0.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
45,Versace Yellow Diamond,Versace,41,1,0.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
49,Red Door,Elizabeth Arden,119,1.7,0.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
50,CK Be,CK,51,3.4,0.15,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
52,Provocative,Elizabeth Arden,119,3.3,0.3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
52,Juicy Couture Malibu ,Juicy Couture,24,1.3,0.6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
54,Versace Signature,Versace,41,1,0.45,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
55,Design,Paul Sebastian,12,3.4,0.25,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
57,Number 3,Jessica Mcclintock,50,3.4,0.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
58,Very Sexy Platinum For Him Cologne,VICTORIA'S SECRET,49,1.7,0.4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
58,Bombshell Eau de Parfum,VICTORIA'S SECRET,49,1.7,0.25,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
59,Fancy,Jessica Mcclintock,50,3.4,0.5,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
60,Coach EdP,Coach,78,1,0.55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,MISS DIOR BLOOMING BOUQUET,Dior,73,1,0.45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,CK One,CK,51,3.3,0.1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
62,HYPNOTIC POISON,Dior,73,1,0.35,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
65,Pretty,Elizabeth Arden,119,3.3,0.3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
65,Versace Dylan Blue,Versace,41,1,0.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
65,Parisienne,Yves Saint Laurent,53,1.6,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
68,Happy Cologue,Clinique,51,3.4,0.2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
69,Versace Yellow Diamond,Versace,41,1.7,0.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
